scenario	context	arm	recorded_optimum	recomputed	relative
half_serum	OV:SK-OV-3	magnitude_g0.80	389.468361705848	389.4683621953165	1.2567606331220311e-09
half_serum	OV:SK-OV-3	magnitude_g0.50	380.149366604764	380.14936708491337	1.2630544979335189e-09
half_serum	OV:SK-OV-3	magnitude_g1.00	395.26084313285173	395.26084362811287	1.2529982214073995e-09
half_serum	OV:SK-OV-3	magnitude_g2.00	420.7156215640686	420.7156220847843	1.237690369829645e-09
half_serum	OV:SK-OV-3	ordinal	188.42806097685772	188.4280612652858	1.5307066351990014e-09
half_serum	OV:SK-OV-3	magnitude_g1.25	402.13540070950125	402.13540121205847	1.2497213941752794e-09
primary	OV:OVCAR-3	magnitude_g2.00	1030.1600035297984	1030.1600046599583	1.097072241616292e-09
primary	OV:OVCAR-3	magnitude_g1.00	993.0027817933188	993.0027828863208	1.1007038347333213e-09
primary	OV:OVCAR-3	ordinal	753.470826721324	753.4708275747948	1.13271917247158e-09
primary	OV:OVCAR-3	magnitude_g0.50	971.8413163730603	971.841317444902	1.1028978167850041e-09
primary	OV:OVCAR-3	magnitude_g1.25	1003.0373260132046	1003.0373271162421	1.0996973088042795e-09
primary	OV:OVCAR-3	magnitude_g0.80	984.6725259541768	984.6725270388486	1.101555863061485e-09
primary	ME:UACC-257	magnitude_g1.25	1005.9774930872507	1005.9774941932292	1.0994068298135334e-09
primary	ME:UACC-257	magnitude_g2.00	1033.6977143033764	1033.6977154370745	1.0967404593938477e-09
primary	ME:UACC-257	magnitude_g0.50	973.8389105856603	973.8389116594991	1.1026862770576385e-09
primary	ME:UACC-257	ordinal	768.2219448520669	768.2219457202893	1.1301713085114369e-09
primary	ME:UACC-257	magnitude_g0.80	987.1182266409714	987.1182277280893	1.1013046368925003e-09
primary	ME:UACC-257	magnitude_g1.00	995.6789606324563	995.6789617281354	1.1004340864845168e-09
half_serum	LE:K-562	magnitude_g2.00	421.06076294421234	421.06076346527317	1.237495564399338e-09
half_serum	LE:K-562	magnitude_g0.80	387.55676709054046	387.5567675780969	1.2580259310613934e-09
half_serum	LE:K-562	magnitude_g0.50	377.2383857571178	377.2383862343564	1.2650850530831334e-09
half_serum	LE:K-562	magnitude_g1.25	401.571658700875	401.5716592024466	1.2490214254783814e-09
half_serum	LE:K-562	magnitude_g1.00	393.99788098879725	393.9978814827953	1.2538089581360243e-09
half_serum	LE:K-562	ordinal	199.87307735292404	199.873077652797	1.5003169488435141e-09
primary	LE:HL-60(TB)	magnitude_g2.00	1033.3609325135815	1033.360933646943	1.096772248069194e-09
primary	LE:HL-60(TB)	magnitude_g1.00	993.5848824928012	993.5848835863873	1.1006468718095643e-09
primary	LE:HL-60(TB)	magnitude_g1.25	1004.4721123116867	1004.4721134161591	1.0995550695487774e-09
primary	LE:HL-60(TB)	ordinal	749.4038003286834	749.4038011780872	1.1334394328132037e-09
primary	LE:HL-60(TB)	magnitude_g0.80	984.4476346302185	984.4476357146651	1.1015787355131414e-09
primary	LE:HL-60(TB)	magnitude_g0.50	970.1082192811679	970.1082203512757	1.103080879904461e-09
primary	PR:DU-145	magnitude_g0.80	990.6337828222852	990.6337839129194	1.1009459125695776e-09
primary	PR:DU-145	magnitude_g2.00	1034.19517437726	1034.1951755114537	1.0966921996661565e-09
primary	PR:DU-145	magnitude_g0.50	978.6078907773859	978.6078918559944	1.1021865146626976e-09
primary	PR:DU-145	ordinal	757.4079532751417	757.40795413255	1.1320296777388568e-09
primary	PR:DU-145	magnitude_g1.25	1008.0972361572665	1008.0972372653636	1.0991966260950007e-09
primary	PR:DU-145	magnitude_g1.00	998.5097336580842	998.5097347565937	1.1001490437651994e-09
half_serum	CNS:SNB-19	magnitude_g0.50	374.1648493344492	374.1648498086143	1.2672625995097152e-09
half_serum	CNS:SNB-19	magnitude_g2.00	416.54308822679707	416.5430887433403	1.2400715969491142e-09
half_serum	CNS:SNB-19	ordinal	201.0903254999556	201.09032580104576	1.4972881114473884e-09
half_serum	CNS:SNB-19	magnitude_g1.25	397.42582333740296	397.42582383482886	1.2516194775185215e-09
half_serum	CNS:SNB-19	magnitude_g0.80	384.27253881827505	384.2725393025479	1.2602327694650152e-09
half_serum	CNS:SNB-19	magnitude_g1.00	390.3388351033352	390.33883559367393	1.2561873855261506e-09
half_serum	LC:NCI-H460	magnitude_g2.00	420.3828704867736	420.3828710071565	1.237878487461117e-09
half_serum	LC:NCI-H460	magnitude_g0.50	380.1282945105376	380.12829499066595	1.263069185444277e-09
half_serum	LC:NCI-H460	magnitude_g0.80	389.37426703872285	389.3742675280971	1.2568222912412e-09
half_serum	LC:NCI-H460	ordinal	200.77348298503986	200.77348328581348	1.4980744301908344e-09
half_serum	LC:NCI-H460	magnitude_g1.25	401.84016322612814	401.8401637279684	1.2488553746117702e-09
half_serum	LC:NCI-H460	magnitude_g1.00	395.0389615172504	395.03896201228935	1.2531395146741958e-09
lower_task	LE:K-562	magnitude_g1.00	431.21527448814436	431.2152750193597	1.2319028713950707e-09
lower_task	LE:K-562	magnitude_g1.25	438.66337672935	438.66337726801345	1.22796545081451e-09
lower_task	LE:K-562	magnitude_g2.00	458.3778251840536	458.37782574243147	1.21816069226942e-09
lower_task	LE:K-562	magnitude_g0.50	414.92637449256875	414.9263750074952	1.2410068072500518e-09
lower_task	LE:K-562	ordinal	221.7049519354214	221.70495225712608	1.451048668669939e-09
lower_task	LE:K-562	magnitude_g0.80	425.0082729396505	425.00827346465866	1.2352892416594092e-09
half_serum	OV:OVCAR-4	magnitude_g1.00	387.9141372959958	387.91413778390984	1.2577888192148405e-09
half_serum	OV:OVCAR-4	magnitude_g1.25	395.6333529536448	395.6333534492783	1.2527595414562092e-09
half_serum	OV:OVCAR-4	magnitude_g0.80	381.46893382141116	381.46893430288003	1.2621443870555034e-09
half_serum	OV:OVCAR-4	magnitude_g2.00	415.91365866691723	415.9136591828303	1.2404331421276934e-09
half_serum	OV:OVCAR-4	ordinal	198.22992280493477	198.22992310316482	1.504465342247785e-09
half_serum	OV:OVCAR-4	magnitude_g0.50	371.36645598082293	371.36645645218937	1.2692757417742224e-09
lower_task	LC:A549/ATCC	ordinal	227.58644043170028	227.58644075928663	1.4393930874646826e-09
lower_task	LC:A549/ATCC	magnitude_g0.50	419.43956700714386	419.4395675265837	1.2384139780059498e-09
lower_task	LC:A549/ATCC	magnitude_g0.80	428.11410057797286	428.1141011060872	1.2335831851585064e-09
lower_task	LC:A549/ATCC	magnitude_g1.00	433.60225810610854	433.60225863971067	1.230625817025439e-09
lower_task	LC:A549/ATCC	magnitude_g2.00	457.86633462690577	457.86633518477197	1.218404060408965e-09
lower_task	LC:A549/ATCC	magnitude_g1.25	440.10413355297857	440.1041340930834	1.2272205793048034e-09
primary	RE:ACHN	magnitude_g1.00	997.5774491003131	997.5774501978896	1.1002418927842416e-09
primary	RE:ACHN	magnitude_g0.80	989.1955127427586	989.1955138319532	1.1010913248134707e-09
primary	RE:ACHN	magnitude_g0.50	976.059456459034	976.0594575350934	1.102452766220341e-09
primary	RE:ACHN	ordinal	749.7825354740207	749.7825363238035	1.1333722731824988e-09
primary	RE:ACHN	magnitude_g2.00	1034.5346126090367	1034.5346137435708	1.0966613830375672e-09
primary	RE:ACHN	magnitude_g1.25	1007.5492200249965	1007.5492211325459	1.0992508510384655e-09
lower_task	CO:HCT-15	ordinal	208.31627832256518	208.3162786308814	1.4800390718141247e-09
lower_task	CO:HCT-15	magnitude_g2.00	455.7577420357073	455.7577425914649	1.2194144900950652e-09
lower_task	CO:HCT-15	magnitude_g1.25	436.4254551693315	436.4254557057571	1.2291345434835122e-09
