scenario	context	vector_from_arm	scored_against_arm	regret	within_primary_cap	within_secondary_cap	cost_under_target	target_optimum	target_cap
half_serum	BR:MCF7	ordinal	magnitude_g0.50	0.08139214796481604	0	0	423.3258725399963	391.46379353382315	391.463794025287
half_serum	BR:MCF7	ordinal	magnitude_g0.80	0.08956881194895801	0	0	435.805703859775	399.9799728850818	399.9799733850618
half_serum	BR:MCF7	ordinal	magnitude_g1.00	0.09501915379331995	0	0	443.8265725162689	405.3139810192208	405.3139815245348
half_serum	BR:MCF7	ordinal	magnitude_g1.25	0.10194700316497372	0	0	453.45922329776516	411.50728845884186	411.5072889703492
half_serum	BR:MCF7	ordinal	magnitude_g2.00	0.1197773145537753	0	0	479.54095291502836	428.24671180816216	428.2467123364089
half_serum	BR:MCF7	ordinal	ordinal	1.4505769602470324e-09	1	0	221.9375763564856	221.93757603454807	221.93757635648564
half_serum	BR:T-47D	magnitude_g0.50	magnitude_g0.50	1.2610063345823663e-09	0	1	383.13340244730955	383.1334019641759	383.1334024473093
half_serum	BR:T-47D	magnitude_g0.50	magnitude_g0.80	0.00030228362850746605	0	0	393.5805575747841	393.46162056844025	393.4616210619019
half_serum	BR:T-47D	magnitude_g0.50	magnitude_g1.00	0.0007787761941898977	0	0	400.2838276709848	399.97233873524334	399.9723392352157
half_serum	BR:T-47D	magnitude_g0.50	magnitude_g1.25	0.0016455200360699057	0	0	408.3170095716274	407.6462195497302	407.6462200573764
half_serum	BR:T-47D	magnitude_g0.50	magnitude_g2.00	0.008106191659569582	0	0	429.93082304058817	426.47374512483185	426.4737456513056
half_serum	BR:T-47D	magnitude_g0.50	ordinal	0.11317858377633945	0	1	237.21691384863408	213.09870429226282	213.09870460536152
half_serum	BR:T-47D	magnitude_g0.80	magnitude_g0.50	0.0001106443298704461	0	1	383.1757935026872	383.1334019641759	383.1334024473093
half_serum	BR:T-47D	magnitude_g0.80	magnitude_g0.80	1.254154880834172e-09	0	0	393.46162106190206	393.46162056844025	393.4616210619019
half_serum	BR:T-47D	magnitude_g0.80	magnitude_g1.00	0.000232582287994786	0	0	400.065365216921	399.97233873524334	399.9723392352157
half_serum	BR:T-47D	magnitude_g0.80	magnitude_g1.25	0.0008265255513032793	0	0	407.9831495660802	407.6462195497302	407.6462200573764
half_serum	BR:T-47D	magnitude_g0.80	magnitude_g2.00	0.006642580868416755	0	0	429.3066314650801	426.47374512483185	426.4737456513056
half_serum	BR:T-47D	magnitude_g0.80	ordinal	0.12075084153537063	0	1	238.83055216565066	213.09870429226282	213.09870460536152
half_serum	BR:T-47D	magnitude_g1.00	magnitude_g0.50	0.0009689585987969275	0	1	383.5046423684954	383.1334019641759	383.1334024473093
half_serum	BR:T-47D	magnitude_g1.00	magnitude_g0.80	0.00017568198485856163	0	1	393.5307446869074	393.46162056844025	393.4616210619019
half_serum	BR:T-47D	magnitude_g1.00	magnitude_g1.00	1.2500173747440205e-09	1	1	399.9723392352157	399.97233873524334	399.9723392352157
