panel	arm	metabolite_id	eligible_pairs	point_C	interval_C
primary	uniform_pfba	core_088	713	0.5	0.5
primary	uniform_pfba	core_091	779	0.5	0.5
primary	uniform_pfba	core_092	1024	0.5	0.5
primary	uniform_pfba	core_094	935	0.5	0.5
primary	uniform_pfba	core_095	913	0.5	0.5
primary	uniform_pfba	core_096	920	0.5	0.5
primary	uniform_pfba	core_098	880	0.5	0.5
primary	uniform_pfba	core_099	500	0.5	0.5
primary	uniform_pfba	core_102	876	0.5	0.5
primary	uniform_pfba	core_103	912	0.5	0.5
primary	uniform_pfba	core_104	888	0.5	0.5
primary	uniform_pfba	core_110	958	0.5	0.5
primary	uniform_pfba	core_111	1004	0.5	0.5
primary	uniform_pfba	core_112	731	0.5	0.5
primary	uniform_pfba	core_113	977	0.5	0.5
primary	uniform_pfba	core_114	869	0.5	0.5
primary	uniform_pfba	core_115	915	0.5	0.5
broader_chemistry	magnitude_g0.50	core_001	767	0.5	0.5
broader_chemistry	magnitude_g0.50	core_002	819	0.5	0.5
broader_chemistry	magnitude_g0.50	core_004	317	0.5	0.5
broader_chemistry	magnitude_g0.50	core_005	495	0.5	0.5
broader_chemistry	magnitude_g0.50	core_006	952	0.5	0.5
broader_chemistry	magnitude_g0.50	core_007	732	0.5	0.5
broader_chemistry	magnitude_g0.50	core_011	594	0.4132996632996633	0.4132996632996633
broader_chemistry	magnitude_g0.50	core_012	742	0.5	0.5
broader_chemistry	magnitude_g0.50	core_013	537	0.5	0.5
broader_chemistry	magnitude_g0.50	core_014	840	0.5	0.5
broader_chemistry	magnitude_g0.50	core_015	514	0.5	0.5
broader_chemistry	magnitude_g0.50	core_016	1000	0.4925	0.4925
broader_chemistry	magnitude_g0.50	core_017	705	0.5	0.5
broader_chemistry	magnitude_g0.50	core_018	1023	0.5	0.5
broader_chemistry	magnitude_g0.50	core_019	319	0.5156739811912225	0.5
broader_chemistry	magnitude_g0.50	core_021	410	0.5	0.5
broader_chemistry	magnitude_g0.50	core_022	724	0.5	0.5
broader_chemistry	magnitude_g0.50	core_023	292	0.5	0.5
broader_chemistry	magnitude_g0.50	core_024	923	0.5	0.5
broader_chemistry	magnitude_g0.50	core_026	957	0.5	0.5
broader_chemistry	magnitude_g0.50	core_027	971	0.5	0.5
broader_chemistry	magnitude_g0.50	core_028	960	0.5	0.5
broader_chemistry	magnitude_g0.50	core_029	642	0.5	0.5
broader_chemistry	magnitude_g0.50	core_030	957	0.5	0.5
broader_chemistry	magnitude_g0.50	core_032	950	0.5	0.5
broader_chemistry	magnitude_g0.50	core_034	919	0.5	0.5
broader_chemistry	magnitude_g0.50	core_035	920	0.5	0.5
broader_chemistry	magnitude_g0.50	core_037	410	0.5	0.5
broader_chemistry	magnitude_g0.50	core_038	650	0.5	0.5
broader_chemistry	magnitude_g0.50	core_039	984	0.5	0.5
broader_chemistry	magnitude_g0.50	core_040	232	0.5	0.5
broader_chemistry	magnitude_g0.50	core_041	939	0.5	0.5
broader_chemistry	magnitude_g0.50	core_042	695	0.5	0.5
broader_chemistry	magnitude_g0.50	core_043	283	0.5	0.5
broader_chemistry	magnitude_g0.50	core_044	918	0.6127450980392157	0.6127450980392157
broader_chemistry	magnitude_g0.50	core_045	904	0.5	0.5
broader_chemistry	magnitude_g0.50	core_048	703	0.5	0.5
broader_chemistry	magnitude_g0.50	core_049	748	0.5	0.5
broader_chemistry	magnitude_g0.50	core_050	1027	0.5	0.5
broader_chemistry	magnitude_g0.50	core_051	919	0.5	0.5
broader_chemistry	magnitude_g0.50	core_052	818	0.5812958435207825	0.5812958435207825
broader_chemistry	magnitude_g0.50	core_053	898	0.5	0.5
broader_chemistry	magnitude_g0.50	core_054	242	0.5	0.5
broader_chemistry	magnitude_g0.50	core_056	797	0.5	0.5
broader_chemistry	magnitude_g0.50	core_057	685	0.5	0.5
broader_chemistry	magnitude_g0.50	core_058	566	0.5	0.5
broader_chemistry	magnitude_g0.50	core_060	717	0.5	0.5
broader_chemistry	magnitude_g0.50	core_062	940	0.5	0.5
broader_chemistry	magnitude_g0.50	core_063	1026	0.5	0.5
broader_chemistry	magnitude_g0.50	core_064	691	0.5	0.5
broader_chemistry	magnitude_g0.50	core_065	727	0.5	0.5
broader_chemistry	magnitude_g0.50	core_066	646	0.5	0.5
broader_chemistry	magnitude_g0.50	core_067	869	0.5	0.5
broader_chemistry	magnitude_g0.50	core_069	753	0.5	0.5
broader_chemistry	magnitude_g0.50	core_070	909	0.5907590759075908	0.5907590759075908
broader_chemistry	magnitude_g0.50	core_071	635	0.5	0.5
broader_chemistry	magnitude_g0.50	core_072	847	0.5	0.5
broader_chemistry	magnitude_g0.50	core_073	924	0.5	0.5
