variant	core_label	replicate	context_id	origin_group	partition	culture_volume_mL	duration_days	growth_time_series_available	assays_screened	flagged_assay_count	unresolved_assay_count	status	flagged_assays	in_human1_11_line_subset
all_reported_assays	MCF7	1	BR:MCF7	BR:MCF7	test	35	4_or_5_not_resolved_per_culture	False	140	13	28	screen_positive	choline; 2'-deoxyuridine; glutathione oxidized; guanidinoacetate; hypoxanthine; lysine; methionine; nicotinic acid mononucleotide; phenylalanine; taurine; thymidine; UDP-glucuronate; valine	False
calibrated_assays	MCF7	1	BR:MCF7	BR:MCF7	test	35	4_or_5_not_resolved_per_culture	False	115	13	3	screen_positive	choline; 2'-deoxyuridine; glutathione oxidized; guanidinoacetate; hypoxanthine; lysine; methionine; nicotinic acid mononucleotide; phenylalanine; taurine; thymidine; UDP-glucuronate; valine	False
all_reported_assays	MCF7	2	BR:MCF7	BR:MCF7	test	35	4_or_5_not_resolved_per_culture	False	140	12	28	screen_positive	choline; 2'-deoxyuridine; glutathione oxidized; guanidinoacetate; hypoxanthine; lysine; methionine; PEP; phenylalanine; taurine; thymidine; valine	False
calibrated_assays	MCF7	2	BR:MCF7	BR:MCF7	test	35	4_or_5_not_resolved_per_culture	False	115	12	3	screen_positive	choline; 2'-deoxyuridine; glutathione oxidized; guanidinoacetate; hypoxanthine; lysine; methionine; PEP; phenylalanine; taurine; thymidine; valine	False
all_reported_assays	NCI-H460	1	LC:NCI-H460	LC:NCI-H460	test	25	4_or_5_not_resolved_per_culture	False	140	4	28	screen_positive	choline; glutamine; nicotinic acid mononucleotide; serine	False
calibrated_assays	NCI-H460	1	LC:NCI-H460	LC:NCI-H460	test	25	4_or_5_not_resolved_per_culture	False	115	4	3	screen_positive	choline; glutamine; nicotinic acid mononucleotide; serine	False
all_reported_assays	NCI-H460	2	LC:NCI-H460	LC:NCI-H460	test	25	4_or_5_not_resolved_per_culture	False	140	4	28	screen_positive	choline; glutamine; glutathione oxidized; serine	False
calibrated_assays	NCI-H460	2	LC:NCI-H460	LC:NCI-H460	test	25	4_or_5_not_resolved_per_culture	False	115	4	3	screen_positive	choline; glutamine; glutathione oxidized; serine	False
all_reported_assays	SK-OV-3	1	OV:SK-OV-3	OV:SK-OV-3	test	35	4_or_5_not_resolved_per_culture	False	140	6	28	screen_positive	glutamine; hypoxanthine; IMP; niacin; niacinamide; tryptophan	False
calibrated_assays	SK-OV-3	1	OV:SK-OV-3	OV:SK-OV-3	test	35	4_or_5_not_resolved_per_culture	False	115	6	3	screen_positive	glutamine; hypoxanthine; IMP; niacin; niacinamide; tryptophan	False
all_reported_assays	SK-OV-3	2	OV:SK-OV-3	OV:SK-OV-3	test	35	4_or_5_not_resolved_per_culture	False	140	7	28	screen_positive	glutamine; hypoxanthine; IMP; niacinamide; OMP; tryptophan; UDP-glucuronate	False
calibrated_assays	SK-OV-3	2	OV:SK-OV-3	OV:SK-OV-3	test	35	4_or_5_not_resolved_per_culture	False	115	7	3	screen_positive	glutamine; hypoxanthine; IMP; niacinamide; OMP; tryptophan; UDP-glucuronate	False
all_reported_assays	SK-MEL-5	1	ME:SK-MEL-5	ME:SK-MEL-5	test	35	4_or_5_not_resolved_per_culture	False	140	5	28	screen_positive	choline; 2'-deoxyuridine; niacinamide; OMP; serine	False
