source_label	method	source_kegg	source_pdf_page	source_text
proprionate	IPR	C00163	27	proprionate                         IPR    ko00640|Propanoate metabolism                         C00163        1
prostaglandin E2	IPR	C00584	27	prostaglandin E2                    IPR    ko00590|Arachidonic acid metabolism                   C00584
pyridoxal-5-phosphate	IPR	C00018	27	pyridoxal-5-phosphate               IPR    ko00750|Vitamin B6 metabolism                         C00018
pyruvate	IPR	C00022	27	pyruvate                            IPR    ko00010|Glycolysis / Gluconeogenesis                  C00022        1    1
quinolinate	IPR	C03722	27	quinolinate                         IPR    ko00380|Tryptophan metabolism                         C03722        1
ribose-5-phosphate	IPR	C00117	27	ribose-5-phosphate                  IPR    ko00030|Pentose phosphate pathway                     C00117
ribulose-5-phosphate	IPR	C00199	27	ribulose-5-phosphate                IPR    ko00030|Pentose phosphate pathway                     C00199
salicylurate	IPR	C07588	27	salicylurate                        IPR    NA                                                    C07588        1
sorbitol	IPR	C00794	27	sorbitol                            IPR    ko00051|Fructose and mannose metabolism               C00794        1    1
succinate	IPR	C00042	27	succinate                           IPR    ko00020|Citrate cycle (TCA cycle)                     C00042        1    1
sucrose	IPR	C00089	27	sucrose                             IPR    ko00500|Starch and sucrose metabolism                 C00089        1    1
symmetric dimethylarginine	IPR	NA	27	symmetric dimethylarginine          IPR    NA                                                      NA
taurocholate	IPR	C05122	27	taurocholate                        IPR    ko00120|Primary bile acid biosynthesis                C05122        1
taurodeoxycholate/taurochenodeoxycholate	IPR	C05463/C05465	27	taurodeoxycholate/taurochenodeoxycholate IPR    ko00120|Primary bile acid biosynthesis             C05463/C05465    1
taurolithocholate	IPR	C02592	27	taurolithocholate                   IPR    ko00120|Primary bile acid biosynthesis                C02592        1
