model_gene_id	entrez_id	measured
5139_AT1	5139	True
8821_AT1	8821	True
3631_AT1	3631	True
50940_AT1	50940	True
2595_AT1	2595	False
84693_AT1	84693	False
8733_AT1	8733	True
5136_AT1	5136	True
4594_AT1	4594	True
5136_AT2	5136	True
3028_AT1	3028	True
5152_AT14	5152	True
3033_AT1	3033	True
3037_AT1	3037	True
80168_AT1	80168	True
116255_AT1	116255	False
5146_AT1	5146	True
4507_AT1	4507	True
3038_AT1	3038	False
3038_AT2	3038	False
5152_AT10	5152	True
3036_AT1	3036	True
27235_AT1	27235	True
5152_AT12	5152	True
6521_AT1	6521	True
83697_AT1	83697	False
10797_AT1	10797	True
56913_AT1	56913	True
5152_AT15	5152	True
443_AT1	443	True
5152_AT4	5152	True
91703_AT1	91703	False
5152_AT3	5152	True
6522_AT1	6522	True
6508_AT1	6508	True
5145_AT1	5145	True
6508_AT2	6508	True
5152_AT5	5152	True
4668_AT1	4668	True
9498_AT1	9498	True
57282_AT1	57282	True
6528_AT1	6528	True
3098_AT5	3098	True
80201_AT1	80201	True
3098_AT2	3098	True
5152_AT17	5152	True
3098_AT4	3098	True
5152_AT18	5152	True
8654_AT1	8654	True
2645_AT1	2645	True
8654_AT3	8654	True
2645_AT3	2645	True
483_AT1	483	True
5152_AT16	5152	True
3101_AT1	3101	True
5149_AT1	5149	True
3098_AT3	3098	True
478_AT1	478	False
8654_AT2	8654	True
480_AT1	480	False
481_AT1	481	True
3098_AT1	3098	True
2645_AT2	2645	True
3099_AT1	3099	True
5147_AT1	5147	True
482_AT1	482	True
476_AT1	476	True
5152_AT6	5152	True
477_AT1	477	True
5152_AT19	5152	True
23439_AT1	23439	True
3081_AT1	3081	True
11112_AT1	11112	False
5152_AT13	5152	True
3067_AT1	3067	True
6549_AT1	6549	True
5152_AT2	5152	True
6550_AT1	6550	True
5148_AT1	5148	True
5152_AT11	5152	True
496_AT1	496	True
6548_AT1	6548	True
5152_AT7	5152	True
495_AT1	495	True
55748_AT1	55748	True
5158_AT1	5158	True
84735_AT1	84735	False
5152_AT20	5152	True
6559_AT1	6559	True
8942_AT1	8942	True
5152_AT1	5152	True
5162_AT1	5162	True
3157_AT2	3157	True
5161_AT1	5161	True
3157_AT1	3157	True
123041_AT2	123041	False
1737_AT1	1737	True
123041_AT3	123041	False
3158_AT1	3158	True
5160_AT1	5160	True
123041_AT1	123041	False
55163_AT1	55163	True
25769_AT1	25769	True
54511_AT1	54511	False
10396_AT1	10396	True
57419_AT1	57419	True
9187_AT1	9187	True
5105_AT1	5105	True
124583_AT1	124583	True
3155_AT1	3155	True
5106_AT1	5106	True
3162_AT1	3162	True
3163_AT1	3163	True
79077_AT1	79077	True
8310_AT1	8310	True
9583_AT1	9583	True
26062_AT1	26062	False
197257_AT1	197257	False
5833_AT1	5833	True
197257_AT2	197257	False
1841_AT1	1841	True
10400_AT3	10400	True
6448_AT1	6448	True
10400_AT2	10400	True
3290_AT2	3290	True
10400_AT1	10400	True
29922_AT1	29922	True
26227_AT1	26227	True
10201_AT1	10201	True
5730_AT1	5730	True
4830_AT2	4830	True
27306_AT1	27306	True
80142_AT1	80142	True
4831_AT1	4831	False
80142_AT2	80142	True
29922_AT2	29922	True
80142_AT3	80142	True
4832_AT1	4832	True
4830_AT1	4830	True
200576_AT2	200576	True
8396_AT2	8396	True
9536_AT2	9536	True
80142_AT4	80142	True
4833_AT1	4833	True
9536_AT1	9536	True
6005_AT1	6005	True
79837_AT1	79837	True
5740_AT1	5740	True
5289_AT1	5289	True
57127_AT1	57127	True
6557_AT1	6557	True
5277_AT2	5277	True
114971_AT1	114971	False
6558_AT1	6558	True
349565_AT1	349565	False
9489_AT1	9489	True
64802_AT1	64802	False
23057_AT2	23057	True
8818_AT1	8818	True
5743_AT1	5743	True
23057_AT1	23057	True
5742_AT1	5742	True
10135_AT1	10135	True
6898_AT1	6898	True
5053_AT1	5053	False
5283_AT1	5283	True
5264_AT1	5264	True
8818_AT2	8818	True
5277_AT3	5277	True
4837_AT1	4837	False
5409_AT1	5409	True
