arm	exchange_id	profiles	B0_low	B0_high	B0_width	B0_shared	B1_mean_width	B1_max_width	B1_location_spread	B1_exploration	B1_all_fixed	B1_constant_across_profiles	B2_mean_width	B2_max_width	B2_location_spread	B2_exploration	B2_all_fixed	B2_constant_across_profiles
ordinal	EX_cala_e	11	0.0	16.576892935525144	16.576892935525144	True	1.9600318253640736e-08	2.1091769556459533e-08	1.3161540599473369e-09	7.939690900257612e-11	True	True	4.272868784979254e-10	9.62722817212433e-10	4.6197373033911937e-10	2.7868535565497054e-11	True	True
ordinal	EX_chol_e	11	-10.0	5.802857235090938	15.802857235090938	True	1.088209640580247e-06	2.559994451534209e-06	1.2374152574949457	0.07830326118160524	True	False	2.387309154401733e-08	8.117739236368493e-08	1.237415763130389	0.07830329317806232	True	False
ordinal	EX_cholp_e	11	0.0	6.071678091942405	6.071678091942405	True	4.854105267438337e-08	5.178525444011195e-08	2.711105387217751e-09	4.4651665423692357e-10	True	True	1.0442632025379426e-09	2.481993500416377e-09	1.19529810007361e-09	1.9686453760779324e-10	True	True
ordinal	EX_cit_e	11	0.0	62.319508811365594	62.319508811365594	True	1.5232453537334696e-05	0.00014219249344371576	8.261581695171055	0.13256814523647753	False	False	1.1992789633759735e-07	5.3042712977458e-07	8.261511227889141	0.1325670144945436	True	False
ordinal	EX_cmp_e	11	0.0	0.0	0.0	True	0.0	0.0	0.0	nan	True	True	1.5235348560543995e-10	4.05613279186018e-10	2.02806639593009e-10	nan	True	True
ordinal	EX_crn_e	11	-1.0	-3.3306690738754696e-16	0.9999999999999997	True	6.529419732367617e-07	1.6602078125593778e-06	6.683808129737123e-07	6.683808129737125e-07	True	True	1.2317937339459508e-08	3.327134670039646e-08	1.5890625894764097e-08	1.5890625894764104e-08	True	True
ordinal	EX_cytd_e	11	0.0	10.81101713186418	10.81101713186418	True	1.0800444640690204e-08	1.1711783722078671e-08	7.904990452452015e-10	7.311976621656626e-11	True	True	2.3867998340550445e-10	5.445440001678573e-10	2.614550988106854e-10	2.418413509308738e-11	True	True
ordinal	EX_dhap_e	11	0.0	6.071678091942327	6.071678091942327	True	2.839120236892769e-08	3.013207170860178e-08	1.5997468261397922e-09	2.6347688430037207e-10	True	True	6.142249340842271e-10	1.4553422508408681e-09	7.003303482940888e-10	1.1534378761342623e-10	True	True
ordinal	EX_duri_e	11	0.0	10.811017131864169	10.811017131864169	True	1.0894004603184303e-08	1.1584071322332445e-08	6.744827752816455e-10	6.23884660485542e-11	True	True	2.4000783076836505e-10	5.471833703180045e-10	2.6261460573668057e-10	2.4291387436863427e-11	True	True
ordinal	EX_fum_e	11	0.0	75.07460134290541	75.07460134290541	True	2.785116948194661e-05	0.000142192106139305	12.931358391735785	0.17224678067448446	False	False	6.448894882347325e-07	3.1647207983098724e-06	12.93138007170596	0.17224706945350943	True	False
ordinal	EX_glcur_e	11	0.0	18.283735368672726	18.283735368672726	True	4.2765657975681225e-08	5.035322837622734e-08	7.2561781266224816e-09	3.9686519085455514e-10	True	True	9.724991030486904e-10	2.460303666930503e-09	1.1838680903746445e-09	6.474979354618526e-11	True	True
ordinal	EX_gln__L_e	11	-10.0	31.44223233881293	41.44223233881293	True	6.0027052108744465e-06	4.6228556787930586e-05	3.4375590816821067	0.08294821219036128	False	False	8.859597806902415e-08	7.416981091523667e-07	3.437563583236627	0.08294832081275602	True	False
