scenario	context	arm_a	arm_b	relative_l1_full_vector	relative_l1_panel_exchanges	reactions_differing	panel_exchanges_differing	max_abs_difference_full	max_abs_difference_panel
half_serum	CNS:SF-268	magnitude_g1.25	ordinal	0.563370215609852	0.5780225636321793	187	12	13.92140925454567	13.92139059736349
half_serum	CNS:SF-268	magnitude_g2.00	ordinal	0.5689101400223505	0.5583060681305309	193	12	14.1569249558677	14.080426894149308
half_serum	CNS:SF-295	magnitude_g0.50	magnitude_g0.80	0.13910722371371181	0.08021851936339085	104	7	3.2863455761070215	2.1139038400405763
half_serum	CNS:SF-295	magnitude_g0.50	magnitude_g1.00	0.1722046569248286	0.11600822942712097	118	7	4.949578103847299	2.5297476406540405
half_serum	CNS:SF-295	magnitude_g0.50	magnitude_g1.25	0.15607409850740403	0.11600889021296998	116	7	4.9499786150075025	2.5298719330113695
half_serum	CNS:SF-295	magnitude_g0.50	magnitude_g2.00	0.30388000924236086	0.2559156048406315	114	8	8.658007949069729	6.545245392899975
half_serum	CNS:SF-295	magnitude_g0.50	ordinal	0.5454642046892834	0.3918822064326244	172	9	13.430699405087637	9.018298990739332
half_serum	CNS:SF-295	magnitude_g0.80	magnitude_g1.00	0.041763957264189	0.03666817272132057	61	5	1.663232527740277	0.8316876012263683
half_serum	CNS:SF-295	magnitude_g0.80	magnitude_g1.25	0.05717203692855447	0.036670440458543944	80	6	2.9520919474827174	0.8316876012263987
half_serum	CNS:SF-295	magnitude_g0.80	magnitude_g2.00	0.26416732318699193	0.26609562015168003	83	7	7.992027736413707	4.431341552859399
half_serum	CNS:SF-295	magnitude_g0.80	ordinal	0.5586179102261672	0.44196543317639597	176	9	13.370864909866354	11.132202830779908
half_serum	CNS:SF-295	magnitude_g1.00	magnitude_g1.25	0.018261823923495162	5.064738605280549e-06	62	5	2.952119719181379	0.00012429235732902555
half_serum	CNS:SF-295	magnitude_g1.00	magnitude_g2.00	0.26195760843397004	0.2788419824443902	88	7	7.992027736413707	4.015497752245935
half_serum	CNS:SF-295	magnitude_g1.00	ordinal	0.5751830870693768	0.4792195488412408	190	9	13.419382461888683	11.548046631393373
half_serum	CNS:SF-295	magnitude_g1.25	magnitude_g2.00	0.2598994388980764	0.278836905990904	87	7	7.99183517529885	4.015373459888606
half_serum	CNS:SF-295	magnitude_g1.25	ordinal	0.5723123970728266	0.4792221701291331	188	9	13.419258169531318	11.548170923750702
